sku,name,price,origin,merchant
may-cat-cam-tay-dekton-dk-ag950s,Máy cắt cầm tay Dekton DK-AG950S,690000,https://shopee.vn/product/279547485/5274192859,shopee
kynko-j1c-kd28-26,Máy khoan bê tông Kynko J1C-KD28-26,1833000,https://shopee.vn/product/772892494/21507014059,shopee

